Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,TrafficCondition,Temperature,Humidity,Wind Speed,Air Pressure,CO2Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Car,Electric,3.528733444,24,216989,38.62555811,3.584753727,Rural,Free flow,12.43075244,27.31165409,18.76427029,1008.959587,51.73167604,1.543045547,0.09654174468,0.09321711493,0.09973244528,Low
Car,Hybrid,3.046114097,10,229701,9.278255143,0.9326696092,Rural,Moderate,28.87363016,34.48892063,7.60488286,986.7615978,430.0482535,0.6470288097,0.1568204804,0.09389007888,0.0204396327,High
Truck,Petrol,2.314391529,21,132192,54.72812765,0.4652455649,Highway,Free flow,9.221528333,67.94106124,15.93407858,991.5185294,445.1609816,1.251557849,0.08797653956,0.05338845007,0.05105468642,High
Motorcycle,Petrol,3.981635053,3,43638,98.20614676,2.87271506,Highway,Moderate,1.080378866,92.23751864,5.175796825,980.7608519,95.44669711,1.528126353,0.1325598826,0.07623593708,0.08750526545,Low
Motorcycle,Diesel,1.525368075,16,170134,2.043775331,4.543260994,Rural,Heavy,4.547553415,58.31154757,1.236624768,992.6270481,54.57916373,1.56476022,0.1314582191,0.03098996047,0.0204468246,Low
Motorcycle,Petrol,2.319152172,7,267337,69.85292198,0.1772951176,Highway,Free flow,-0.8765136925,1.003344893,17.63108971,1048.962692,410.1194712,0.8904061963,0.0791297382,0.06791542693,0.05970465197,High
Truck,Petrol,2.705081585,13,15213,105.692653,4.132508188,Rural,Free flow,-0.1053654119,26.38925618,18.54592951,986.341477,338.327624,1.484178743,0.03169653229,0.01765597066,0.02797098365,High
Bus,Electric,3.171563918,26,254286,26.1059316,2.532356054,Rural,Moderate,0.8419457715,95.22385287,14.16199316,1016.550975,300.2650184,0.6736103743,0.0922743164,0.08763257552,0.05371064639,High
Car,Electric,4.882914999,1,244987,21.99070376,4.304477244,City,Free flow,-9.195264425,91.03217638,15.40135647,981.9606433,289.9413387,0.3361056396,0.1762619154,0.07494185146,0.02820721541,Medium
Motorcycle,Diesel,1.838303667,10,215031,92.67319508,4.217384676,Rural,Heavy,25.80440174,11.56472396,0.1425524018,996.6647736,398.1919855,0.3145494854,0.1613127332,0.09594132884,0.05772673876,High
Bus,Electric,3.47401908,10,148259,30.61037173,4.376434024,Highway,Moderate,9.980117114,90.84170631,15.07647035,958.3773998,181.9914774,1.060834139,0.08057278195,0.08003974161,0.04704155905,Medium
Truck,Petrol,3.880555758,23,141112,23.03811211,3.844369774,City,Moderate,-8.866433406,96.4529023,9.443927738,1026.323424,225.1015925,0.8281942298,0.1747790339,0.0264712784,0.04544775609,Medium
Truck,Petrol,1.041542146,21,197374,45.35871007,4.214961773,Rural,Free flow,8.500377223,32.45718958,9.055809092,1016.102445,85.03300715,0.541652404,0.09335906628,0.05207335401,0.02443226767,Low
Motorcycle,Diesel,3.95923323,23,29949,47.10024147,0.880126036,Rural,Heavy,35.26840636,70.10068094,10.80139841,984.7485008,304.7583601,0.8432391918,0.04728639677,0.05881769402,0.06938191185,High
Car,Diesel,1.686725443,5,243072,104.8921276,1.519265744,City,Moderate,15.56221585,55.99824155,5.424204324,1002.484468,482.3651846,0.8825023176,0.1741600102,0.08456211126,0.01632256829,High
Motorcycle,Hybrid,1.138268284,20,248066,74.21321663,1.212430854,Highway,Free flow,39.33760057,33.70496586,13.9257711,1037.222184,177.7325962,1.151788999,0.103791391,0.05953567495,0.09404763471,Medium
Bus,Electric,5.734204794,20,214480,48.71537476,3.712141519,City,Moderate,16.99797159,15.33357809,5.911777441,954.4432716,468.1623814,0.2100505737,0.09242812106,0.05290245865,0.0153126674,High
Bus,Petrol,5.821286572,13,208366,64.12655571,0.7682155968,City,Heavy,38.13994995,36.69202241,11.17213276,1043.02165,378.1433301,1.825239923,0.05463394121,0.07417000427,0.04703690856,High
Truck,Electric,5.00366621,29,287556,114.475828,0.9111389519,City,Free flow,0.09003644022,92.77965714,2.738544576,997.0799602,155.2457853,0.8071822133,0.1552752258,0.06779531875,0.03581006227,Medium
Car,Hybrid,2.3839916,9,145384,13.58576119,4.394823604,Rural,Heavy,4.496740636,81.12483756,13.5015127,1035.965541,348.2844603,1.269220387,0.1145424021,0.07739004102,0.0596528931,High
Motorcycle,Electric,1.307894993,25,142876,24.92586261,3.529410965,City,Free flow,24.99850551,33.06745306,3.792255291,1036.148292,214.8052915,0.6821607893,0.04939381056,0.05276139201,0.01224135312,Medium
Motorcycle,Hybrid,4.358011738,26,185058,115.5034448,4.37689989,Highway,Free flow,39.34108085,54.7675352,3.408279715,955.8712277,105.0359094,1.547184248,0.05926969391,0.07511534602,0.04951027519,Low
Bus,Diesel,3.088792967,7,46545,114.8789818,0.6967762913,City,Free flow,31.26487055,40.59616787,0.4856632474,1028.159457,91.7247685,0.9715237335,0.08266821245,0.09739950908,0.07783357044,Low
Bus,Petrol,1.434598821,6,161071,21.25985055,1.994902023,Rural,Heavy,17.68526383,46.6237848,2.435715515,1023.286739,57.75237879,0.7114107625,0.1115216938,0.0263450644,0.08264832641,Low
Bus,Petrol,3.374919933,7,3768,17.41305806,1.41575585,Highway,Free flow,-5.742369282,76.1210686,4.651404902,954.3193547,409.0138182,1.931235347,0.1629836878,0.01470763651,0.09408376702,High
Truck,Electric,0.9788203098,27,263648,50.53021612,0.0484054264,Highway,Heavy,8.2189555,54.3006201,4.446187214,1044.053787,448.182392,1.743893195,0.04937659555,0.06136556773,0.01975352141,High
Truck,Petrol,5.528466091,7,8002,5.966195099,1.422614802,Rural,Moderate,-5.67871497,18.10444634,6.553428586,1013.454824,267.1422421,0.4426245146,0.1503310055,0.024260522,0.05986515903,Medium
Truck,Hybrid,2.145655904,22,75427,78.58842387,1.89791626,City,Heavy,5.564068093,26.90356278,1.088328362,966.7534009,283.9665905,1.431216138,0.1840832421,0.02485493587,0.04612444855,Medium
Motorcycle,Hybrid,4.245115879,1,13898,9.299522599,0.4610981862,City,Heavy,2.939605033,56.77938619,18.70396037,962.3097194,361.2138081,1.533206109,0.08517930799,0.07049220342,0.06826393051,High
Car,Diesel,2.420897596,26,80800,6.963555251,2.832437789,City,Free flow,9.427764832,69.28195599,2.383517587,1006.197299,365.4087677,0.1656580548,0.07950742142,0.04797676979,0.08487128227,High
Truck,Electric,3.50435371,15,214299,58.22243235,1.915863312,City,Moderate,31.8638295,50.81204274,14.03927758,955.8834264,195.857489,1.925831036,0.1007648009,0.01292812024,0.06395466941,Medium
Motorcycle,Hybrid,3.642893453,8,126718,114.9343963,0.2323083114,Rural,Moderate,-2.481166434,62.02105323,10.7014634,966.4409695,121.6318369,0.5426474825,0.1652494891,0.06054617437,0.03061167175,Low
Motorcycle,Diesel,1.761243169,12,33743,51.21551233,3.519894324,Highway,Free flow,5.303197443,78.93769516,11.0557761,1044.845221,243.687745,1.825910658,0.02758316048,0.03199490194,0.03891704168,Medium
Truck,Petrol,5.841840064,22,209610,42.77773904,3.646399169,City,Moderate,3.055862216,54.53919162,2.11033651,1024.474086,363.656095,1.34273401,0.08357983598,0.04904051537,0.09033076221,High
Bus,Petrol,4.830690681,11,243589,119.7548059,4.172357215,City,Free flow,4.807082357,97.71914501,4.864298843,1011.348911,411.8936886,1.073007898,0.01557073966,0.01351249071,0.07043758369,High
Truck,Diesel,5.685394496,26,174458,63.83627529,2.427702999,City,Moderate,8.03117374,23.55686518,15.59762589,970.8819625,90.12304833,1.593091986,0.1083903074,0.01571631612,0.06364322308,Low
Car,Electric,5.453102222,21,130864,45.02896883,4.843293987,Rural,Heavy,2.215587497,91.96882504,9.273729165,971.8515811,314.7415068,1.382552062,0.1893835833,0.02723931567,0.02252526338,High
Truck,Petrol,3.90907989,24,152395,46.3032976,4.570320723,Rural,Moderate,37.12906361,24.76597948,9.141356346,994.5829325,74.34376221,1.506471411,0.04044788844,0.07464678408,0.04072045254,Low
Truck,Petrol,5.593746022,28,172391,23.39513952,2.756758126,Highway,Moderate,11.0050857,53.16445764,10.91823592,1025.405427,421.15089,1.730021103,0.05852620059,0.08109849892,0.03907569,High
Truck,Electric,1.260161011,16,16868,61.46676689,2.224759655,Rural,Moderate,-4.29433674,45.59067708,8.67611777,950.3929604,350.0628654,0.9952455058,0.1427916376,0.04093849094,0.0123306975,High
Motorcycle,Diesel,1.819110885,26,230804,52.66260338,0.01517213951,Rural,Free flow,13.3829305,37.28832691,16.12271862,954.4275267,363.4815927,0.9088856646,0.1411975776,0.02130241466,0.09364574205,High
Truck,Electric,1.035181902,1,264224,32.49543556,3.554972659,City,Free flow,-0.7784049069,96.27346686,14.97410396,1037.011162,392.7732919,1.809577843,0.123377382,0.09427650679,0.03984660572,High
Bus,Diesel,2.49171772,12,144848,19.26481039,2.82477252,Rural,Moderate,0.8065321251,27.23015609,6.340084337,1031.406568,273.0390611,1.615926576,0.05592639456,0.08084691891,0.01924146342,Medium
Car,Petrol,2.821121906,0,197303,37.34866424,4.687720727,City,Heavy,4.252070882,67.48691043,16.24162226,1019.468115,184.5040578,0.136566034,0.02264759301,0.02484077203,0.05445725942,Medium
Truck,Electric,2.211014965,25,184884,61.04199932,2.971160626,Rural,Moderate,-3.762007199,80.4068572,10.3721286,999.9532012,403.5488173,1.342255166,0.05223223993,0.03042469894,0.05038301509,High
Truck,Petrol,5.109435048,27,63271,6.999992674,4.964280469,City,Free flow,26.05594663,19.70068456,12.55473666,964.5126778,399.8162755,1.817418658,0.1314195864,0.01328244728,0.08650428473,High
Motorcycle,Diesel,2.655117299,18,77585,18.44928343,4.269096359,Rural,Moderate,29.59732374,97.31529264,17.32351664,960.2233191,110.7244599,1.398808271,0.06628559754,0.09107939231,0.08198374391,Low
Truck,Electric,2.26085945,10,124147,113.718872,4.767989679,City,Free flow,9.714246096,54.66404757,9.519864985,1040.537633,456.2430461,1.151537396,0.1699275933,0.09399562569,0.08034698716,High
Motorcycle,Electric,3.622019632,4,15628,65.14264212,1.638313856,City,Moderate,24.44962697,91.44906616,15.12520725,988.252184,149.5458143,0.4341914779,0.1270874817,0.01746015406,0.09390538621,Low
Bus,Hybrid,1.53280597,0,259517,7.613916439,0.7466799738,Rural,Moderate,9.447714509,66.38810597,12.56174718,1019.572262,187.9067029,1.906098212,0.01949773795,0.02322071499,0.04370937586,Medium
Motorcycle,Hybrid,4.9714243,19,139337,83.17053105,3.984360569,Rural,Moderate,-1.796133818,64.94268508,8.534898826,995.6198082,147.1623632,1.290064284,0.02675682262,0.02847770876,0.06305327921,Low
Bus,Electric,1.187663347,29,274604,7.416344409,3.930985515,Highway,Free flow,9.858403067,34.55860892,15.78096733,1023.092892,484.5187449,0.2919497732,0.06331277425,0.02628265343,0.07025930307,High
Bus,Hybrid,5.93181207,12,259970,88.66490725,1.057244697,City,Moderate,17.84936977,77.05901434,2.103182357,969.3308881,184.7576255,1.86252414,0.1189795576,0.09465126158,0.05249595455,Medium
Bus,Petrol,4.8156728,7,3477,89.99552661,3.823723271,City,Free flow,-7.950284296,2.97863172,11.62440435,998.4567919,487.1311646,1.081550159,0.1880063546,0.03351881334,0.031947593,High
Bus,Electric,1.833321544,5,264346,78.12947709,2.90986679,City,Moderate,22.72421953,55.58204821,0.9282151474,987.6866353,337.0724264,0.3987277951,0.02961717706,0.04373730894,0.09091141708,High
Car,Diesel,0.828715009,28,113846,87.86454535,0.5476257245,Highway,Heavy,27.13039845,3.21390632,3.123382555,974.50537,129.4540898,0.5304141263,0.1678266452,0.01618333188,0.09106531409,Low
Truck,Petrol,5.040399428,16,244000,10.55589372,2.508917988,Highway,Free flow,32.99851289,30.68718728,11.97747275,1009.771114,299.2292248,1.938841571,0.1188360069,0.06656066501,0.07909504002,Medium
Truck,Diesel,4.475658188,11,273994,87.21366628,4.655690004,Highway,Moderate,-4.861471988,9.629578021,6.152133932,1003.697329,447.0189403,0.9296029373,0.07914449477,0.03394058907,0.04115048578,High
Truck,Electric,4.590837274,0,235693,16.40259837,2.532287727,Rural,Moderate,-9.995320307,91.15910284,5.249499775,999.569123,302.7536539,0.8973808528,0.1321633918,0.03206812453,0.01025621135,High
Bus,Hybrid,4.810605803,2,133878,40.74070887,3.943494948,City,Free flow,-6.336681549,62.82603665,19.11677384,1009.110274,109.667975,1.023719574,0.1591524732,0.0979411299,0.05420789431,Low
Car,Hybrid,1.185032189,13,262329,113.1294304,0.1445499332,Rural,Moderate,36.20584019,66.85106169,7.318112458,964.253077,179.1208229,1.430988733,0.07815715324,0.01347215418,0.05721339744,Medium
Truck,Petrol,2.664021788,25,24718,60.34505732,3.640407064,Highway,Moderate,28.27778605,85.11284243,11.2948294,987.0548334,151.1633233,0.7935382745,0.1847408446,0.02683942536,0.05391581537,Medium
Truck,Diesel,1.40251911,7,187274,116.0911718,4.734186931,Rural,Moderate,31.77178234,73.30324753,10.68497543,982.4674273,106.6350223,0.8999812115,0.1146786573,0.05618752674,0.01868420575,Low
Car,Diesel,5.288137815,10,156287,10.67069507,2.497638924,City,Moderate,15.85068986,12.41955761,1.240368463,1026.917542,197.2788788,1.517624801,0.03981250493,0.06060342348,0.0809100076,Medium
Truck,Diesel,4.04115026,26,280602,57.30679195,1.688549565,Highway,Heavy,16.33599373,61.75383333,13.48551477,953.5724075,347.4782413,0.9762739003,0.1138877589,0.07417458002,0.05789246235,High
Bus,Petrol,2.520669729,13,130293,7.488278433,3.233252524,Highway,Moderate,4.925279492,97.81707304,10.25802639,978.1931093,222.1294268,1.455787534,0.1554399102,0.02882009369,0.02996160732,Medium
Car,Diesel,1.130503421,7,147078,75.62523149,4.581306075,Highway,Moderate,32.1376526,21.41158909,7.628342336,1041.829431,249.7107807,1.928213296,0.1214496372,0.04546475147,0.09608502433,Medium
Bus,Petrol,2.417108073,28,225152,9.444840164,0.8838482527,Rural,Heavy,31.48847915,61.97139311,1.320336321,980.0350649,194.2968491,1.928797758,0.1209833982,0.03584629778,0.03718702186,Medium
Car,Petrol,2.490953275,2,76820,21.0441363,2.01847105,Highway,Moderate,9.608567286,56.36143141,5.8602797,965.1899476,497.5123167,0.9493122862,0.01527191144,0.08510453439,0.04437296206,High
Motorcycle,Hybrid,4.593952127,6,225751,31.05963721,0.7814514049,City,Heavy,6.463353524,39.16460458,17.68190752,1025.73454,313.7889702,0.5450209261,0.09803368997,0.04238230929,0.04612654443,High
Bus,Diesel,4.115298851,27,81234,89.8492622,2.483271161,Rural,Moderate,26.91866356,95.46353837,3.474227466,954.7844191,425.2470862,0.577342087,0.07946035089,0.03350090545,0.04612818189,High
Car,Electric,5.413506261,18,129282,19.67545426,2.702110065,Highway,Free flow,-8.691593083,35.64003856,4.386672795,992.631985,248.5980536,1.656521743,0.01831973773,0.06551430761,0.06784504628,Medium
Bus,Diesel,3.255517611,3,271246,101.5958464,4.721018074,Highway,Moderate,32.99744493,9.368044269,4.105880621,1035.535776,125.8867983,0.2514682182,0.1394225567,0.0196761329,0.03554951796,Low
Motorcycle,Hybrid,1.421890079,24,234501,15.82847266,2.062575769,City,Free flow,12.31239947,96.25429838,17.81609639,1045.409481,431.0634422,0.1767867795,0.04479286601,0.08640629387,0.09130518129,High
Motorcycle,Electric,4.508872894,15,126328,4.229333888,2.834783068,City,Free flow,12.06721233,72.92202068,13.99990965,974.9019757,393.5455341,1.394692338,0.07648444623,0.03511324129,0.06155255514,High
Truck,Electric,4.756082253,12,84079,47.40545028,4.42631287,City,Heavy,23.45389237,34.24498756,17.63686126,979.6202234,198.4140398,1.82921534,0.1197426995,0.08416110821,0.08919133181,Medium
Bus,Diesel,3.718641427,19,94437,117.532997,1.607025001,Rural,Moderate,22.28746802,28.05116251,18.27493,1006.72511,322.8879204,0.5385259243,0.09365421948,0.0992239326,0.09256449001,High
Motorcycle,Petrol,4.809029336,18,79570,13.24106733,3.370819345,Rural,Free flow,3.298703303,92.80266646,18.5593507,972.6551558,92.06064211,0.2036937858,0.1433362459,0.01191926493,0.07918358547,Low
Car,Diesel,3.367737101,4,92656,12.20621328,3.785809244,City,Free flow,37.16393023,27.3549976,9.714312257,965.0744067,61.84508553,1.801046401,0.1705049362,0.02727749628,0.03192916748,Low
Motorcycle,Petrol,3.518210713,22,197937,90.1399813,1.652641173,City,Heavy,39.31649897,53.71576727,9.524477021,992.5981511,417.0916439,0.7729040972,0.0421567467,0.07720794359,0.03967688066,High
Bus,Hybrid,3.023213295,4,172492,37.45940328,0.8217059277,City,Free flow,16.29945071,21.49550712,16.57845681,957.224808,473.8675731,1.144469607,0.062932886,0.01745464063,0.03062840577,High
Motorcycle,Electric,0.9321794591,19,156454,86.07379407,2.51454771,City,Free flow,18.06903991,99.52146139,6.638533483,1039.421997,204.8268574,1.688870121,0.04530527472,0.05018089024,0.05111829931,Medium
Truck,Electric,1.36103542,23,38795,24.00127073,1.784008651,City,Heavy,17.71589817,76.95085863,0.4442225904,983.4196622,318.9079161,0.5750061822,0.1048469981,0.02355013788,0.05598987849,High
Motorcycle,Electric,0.9634317656,3,51425,55.2086393,1.332312159,Rural,Heavy,14.28937041,56.76349402,6.63095434,983.6284125,372.7811011,1.242321086,0.0250586703,0.05227782531,0.04047234219,High
Truck,Hybrid,4.109334139,1,57402,31.83478533,4.867106553,Rural,Heavy,37.25935268,74.58264492,14.32700661,1029.137311,385.7191437,1.983868572,0.1508413677,0.01113091917,0.08851772755,High
Truck,Petrol,2.434651102,25,207275,54.18338579,2.510765094,City,Heavy,2.237622449,91.63679666,2.472281032,984.1548357,266.4820552,1.508488225,0.03430885647,0.02354885652,0.04559961307,Medium
Bus,Hybrid,3.444567594,12,238723,92.29165111,4.282388469,Highway,Heavy,-4.602091187,96.31241944,15.69561716,1026.090686,325.977004,0.8549471626,0.1898861978,0.03474594412,0.07338348595,High
Motorcycle,Petrol,5.519345664,29,203567,91.44119286,0.9765870527,City,Heavy,36.47736422,78.60188844,16.30948635,968.1242014,345.6737278,1.559234902,0.1696703772,0.02780990608,0.08504824304,High
Truck,Petrol,2.096319592,15,95117,61.89267452,4.697213824,Rural,Free flow,0.6519157106,84.90659683,2.018247321,1002.898834,96.46488482,0.141368268,0.1941648369,0.04252152868,0.02448800207,Low
Car,Electric,2.9339912,21,261712,111.4046212,3.972157173,Highway,Free flow,27.45776768,39.77939246,1.956785729,1026.851147,340.2997754,0.5091458597,0.0177103756,0.02304295729,0.07434227935,High
Truck,Diesel,4.72886592,1,209125,31.65409229,4.043460781,City,Moderate,0.1936654616,39.18229952,3.976242931,994.9899103,279.8859542,1.514888967,0.04898031065,0.08387205435,0.02436881317,Medium
Car,Diesel,1.989750461,18,187350,28.83736213,1.948824376,Highway,Free flow,38.00930078,80.82966527,7.127787865,957.1813264,220.3247882,0.5982483794,0.1925944785,0.05682333434,0.07874499887,Medium
Bus,Electric,1.200295531,16,30568,73.65676814,2.428184965,Highway,Heavy,29.55608852,75.96251389,10.65467137,1023.690235,167.7812897,0.3396158706,0.1970817547,0.03791456962,0.06106234208,Medium
Truck,Electric,2.306707555,4,271056,74.55564411,2.966771629,Highway,Moderate,35.93590861,90.09817036,9.710839961,999.4056494,337.0637556,0.6572779489,0.06333333739,0.036567211,0.05628017084,High
Bus,Petrol,1.638350694,24,163599,5.584804748,3.948827681,Highway,Free flow,37.54924101,13.30096942,17.06336974,981.6416123,125.0415154,0.4255361241,0.123763194,0.03195777316,0.0577130993,Low
Bus,Diesel,5.634427792,17,230066,72.93332549,4.24528376,Highway,Heavy,-5.778780787,69.08131187,2.844639742,1049.279573,414.8758612,0.8992272668,0.04942439491,0.05547124737,0.04613634621,High
Car,Hybrid,5.002225974,27,253007,44.93233888,0.3902265468,City,Moderate,11.66944279,64.76482338,13.95145444,1037.607223,127.3088173,0.336627543,0.180011077,0.0578091989,0.01446729141,Low
Truck,Diesel,4.093699534,22,2355,89.69310304,4.520311938,Rural,Moderate,22.40501685,79.85198404,10.9777317,953.782255,397.2277835,1.691637395,0.03600281465,0.09924157562,0.05974106409,High
Truck,Hybrid,5.331595069,20,96429,96.97267975,4.687483263,Highway,Free flow,30.12280521,2.455238491,14.73649646,1009.365403,417.8377237,1.581953403,0.1407637788,0.06661130778,0.01202179556,High
Truck,Petrol,4.9790948,17,185805,66.25845835,2.964437022,Highway,Moderate,2.073587221,82.62524457,6.838928537,985.4568731,472.8443558,0.6832473772,0.06512815066,0.05782751396,0.09213991646,High
Motorcycle,Electric,1.770164306,7,111151,0.2046037803,0.9337530663,Rural,Heavy,35.73024297,32.64266533,9.427592575,953.7405189,258.4809894,1.08786119,0.08102170736,0.01344641262,0.0324154747,Medium
Bus,Electric,5.441306792,26,280232,76.36389722,4.092074164,Rural,Moderate,1.048816455,68.7122131,0.5718597837,951.1297027,78.65917246,1.724566114,0.1141096112,0.05950203317,0.06840214824,Low
Truck,Hybrid,3.604579658,14,175477,89.86575356,2.742938073,City,Heavy,33.30882008,61.65595716,2.322118182,1008.375778,354.9569097,1.865141918,0.09121751806,0.05454445832,0.06042586617,High
Bus,Hybrid,4.998688807,12,61788,29.87799195,4.085982269,City,Moderate,15.63562898,44.01983208,7.499912239,982.0130659,177.1801202,0.2730657096,0.1094483067,0.09069688878,0.06550679574,Medium
Bus,Diesel,5.45967476,12,51529,55.75752014,4.074040633,City,Moderate,15.77110859,74.60275339,9.625094822,1020.331621,91.72695294,1.471839103,0.1391328687,0.07502951729,0.03918703034,Low
Car,Electric,2.45361807,15,112833,115.8871948,0.4336465784,Rural,Heavy,8.700280774,96.12189304,1.714937861,995.4421286,435.094674,0.357372813,0.06628484832,0.05316249358,0.05045131846,High
Bus,Petrol,1.372270008,21,103578,35.77386641,3.035107142,Highway,Heavy,-4.824738429,32.34749799,16.49976498,1026.649756,112.8818181,0.138064034,0.150374587,0.03052915128,0.07741103913,Low
Car,Petrol,1.985262845,19,183455,26.77839013,2.415721496,Rural,Moderate,7.354503156,74.84358832,18.92104725,1031.306523,277.8670573,0.2499946046,0.08926603691,0.07430426883,0.04520672075,Medium
Motorcycle,Diesel,3.020960501,12,39177,25.30257486,4.73059735,Rural,Heavy,11.33683575,31.45370448,11.92794956,1015.723441,404.8302063,1.194172352,0.01414131105,0.03582444997,0.03563443702,High
Truck,Hybrid,5.053676783,19,116903,67.05610012,1.48320646,City,Moderate,13.95105283,84.56531403,1.068038424,991.7972608,139.5922618,0.8165201349,0.1708629584,0.04176323204,0.0127980386,Low
Motorcycle,Diesel,5.275799033,1,39056,113.9744522,1.030000531,City,Moderate,26.95476452,43.72731659,14.77652448,1048.847725,453.4859486,0.3254825776,0.06350158326,0.07231293253,0.05283685267,High
Car,Petrol,0.8361510788,2,66421,73.0428155,4.48543428,Highway,Free flow,7.603505523,44.92657341,4.343274246,980.6685381,199.2142762,1.001220793,0.1734452963,0.03811570798,0.07251210964,Medium
Car,Electric,3.455885973,14,164704,36.39877443,0.7435778445,City,Moderate,10.32964302,77.18805811,14.67303384,1001.457933,228.3878595,1.065639112,0.1514694171,0.03671743512,0.03598973698,Medium
Motorcycle,Diesel,2.970537216,22,208294,76.62837337,3.432597294,City,Heavy,35.30493012,49.61696995,8.686920303,1002.04041,109.1720604,1.596050438,0.08727488889,0.04979669823,0.0879127507,Low
Bus,Electric,1.954960614,18,68590,74.98107571,1.500099069,Rural,Free flow,27.62836473,26.66446179,1.068533125,992.8338851,340.0069242,1.360957736,0.1335544238,0.06971215555,0.02042569691,High
Truck,Electric,1.42329991,12,271121,71.63101629,2.839228777,City,Moderate,-8.857211525,99.55369337,5.574978783,962.1415319,272.8922804,0.9853366434,0.1984705246,0.0947656341,0.04359918069,Medium
Car,Diesel,2.555598891,4,283644,19.13114483,3.081097164,City,Moderate,30.60443789,62.02253929,8.540599202,985.3942092,488.3721886,0.7162390615,0.06842504562,0.02338417538,0.07656350796,High
Bus,Petrol,5.70313046,25,10011,76.14801592,2.08684641,Rural,Free flow,39.49719622,64.51495567,14.72500683,971.5189746,364.2484172,0.1038162347,0.09558281513,0.03273179159,0.09725564246,High
