Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
1,561,626,1127,1612,1261,2216
1,908,896,1604,1667,1643,2090
0,379,518,997,1503,1092,2381
1,764,908,1419,1732,1608,1927
0,393,484,912,1479,1134,2235
1,996,939,1577,1699,1769,1908
1,732,745,1403,1609,1578,1964
1,820,918,1338,1816,1676,2458
0,383,517,978,1498,1031,2342
1,861,953,1351,1806,1653,2460
1,627,668,1142,1679,1449,2292
1,601,671,1152,1645,1429,2335
1,879,1019,1395,1844,1732,2456
1,552,586,1147,1625,1300,2375
0,393,532,1062,1557,1000,2220
1,510,612,1191,1623,1164,2105
0,304,465,895,1451,952,2193
1,612,647,1257,1595,1349,2291
0,377,479,998,1466,927,2238
1,666,633,1165,1611,1425,2323
1,551,565,1077,1599,1508,2442
1,511,636,1232,1623,1234,2107
0,367,473,884,1476,1022,2255
0,501,538,1019,1535,1119,2231
0,383,449,978,1492,858,2314
1,743,829,1412,1734,1539,1865
0,318,390,821,1384,804,2372
0,325,442,789,1389,969,2157
0,322,370,841,1403,819,2389
1,957,906,1579,1705,1608,2235
1,506,565,1034,1566,1168,2534
1,849,808,1492,1698,1568,2074
1,620,666,1145,1652,1603,2478
1,577,648,1083,1641,1437,2296
1,541,625,1187,1570,1234,2186
0,311,365,815,1385,792,2384
0,441,520,1067,1554,985,2228
0,572,600,1156,1590,1228,2432
1,518,559,1168,1664,1088,2108
1,643,718,1257,1720,1588,2248
1,600,664,1140,1681,1415,2336
1,1151,1059,1623,1845,1845,1957
1,524,678,1260,1652,1227,2171
0,360,474,870,1464,942,2209
1,578,535,1071,1568,1240,2344
1,655,740,1260,1710,1595,2284
1,720,686,1273,1652,1609,2375
1,607,616,1106,1625,1618,2469
1,787,818,1395,1743,1565,2160
1,563,660,1111,1634,1467,2304
1,594,648,1075,1638,1430,2300
1,414,513,1017,1510,1020,2169
0,423,493,865,1472,993,2263
0,325,427,818,1395,852,2301
0,393,653,930,1567,1220,2284
1,926,929,1574,1756,1742,1947
0,423,474,913,1491,1030,2555
0,477,520,954,1469,1116,2700
0,414,529,946,1515,1056,2336
1,545,572,1222,1686,1053,2128
0,378,459,953,1465,914,2343
1,819,959,1347,1818,1606,2250
0,391,489,1020,1493,924,2209
1,527,622,1120,1598,1221,2119
1,524,598,1134,1600,1202,2266
1,516,566,1041,1556,1182,2513
0,379,488,943,1498,900,2185
1,614,700,1296,1671,1353,1873
1,636,666,1327,1637,1376,1983
1,621,689,1247,1675,1401,1850
1,691,695,1310,1650,1487,2157
1,892,1061,1379,1833,1750,2425
1,536,588,1145,1593,1275,2137
1,706,724,1149,1699,1560,2453
1,579,678,1130,1673,1266,2300
1,992,910,1596,1731,1739,1928
0,448,519,964,1500,1086,2245
0,277,385,758,1359,857,2304
0,416,480,976,1496,1062,2373
0,367,471,990,1474,867,2278
1,539,618,1180,1573,1231,2296
0,417,478,911,1475,955,2263
1,797,882,1487,1760,1626,1855
1,545,576,1131,1640,1176,2393
1,553,640,1173,1623,1296,2137
1,615,634,1162,1690,1424,2356
1,542,636,1078,1610,1478,2276
1,762,696,1238,1672,1602,2372
1,664,689,1249,1695,1406,2281
1,1045,1354,1540,1893,1810,2468
1,647,761,1244,1737,1282,2367
1,557,598,1274,1637,1190,2143
1,579,598,1122,1562,1319,2506
1,1088,979,1709,1793,1720,2079
1,478,574,1132,1586,1077,2174
1,729,741,1261,1719,1567,2501
1,736,737,1358,1678,1522,2156
0,517,538,967,1526,1141,2485
1,736,695,1409,1684,1490,2134
0,358,492,910,1487,1005,2309
1,518,604,1145,1590,1161,2198
1,607,647,1156,1693,1377,2300
0,380,495,1012,1457,928,2186
1,495,548,1031,1554,1233,2377
1,926,840,1606,1785,1555,1996
1,569,582,1144,1583,1266,2322
0,417,528,989,1625,1151,2204
1,512,541,1121,1572,1158,2130
1,797,896,1211,1747,1746,2473
1,642,646,1159,1643,1455,2361
1,533,657,1225,1634,1184,2121
1,511,617,1190,1571,1175,2137
0,426,485,883,1474,1159,2371
1,514,577,1140,1570,1252,2363
1,800,833,1245,1748,1655,2479
1,613,746,1307,1686,1409,1906
1,617,750,1322,1654,1402,1978
1,869,975,1355,1837,1674,2454
1,657,676,1168,1669,1630,2437
0,428,484,1060,1567,984,2246
1,541,654,1207,1620,1194,2161
1,634,746,1268,1710,1605,2257
0,305,401,814,1345,794,2389
0,345,435,862,1421,954,2241
0,413,495,1027,1518,933,2272
0,561,637,1148,1587,1240,2380
1,698,745,1245,1719,1653,2425
0,334,426,820,1399,831,2337
1,748,794,1284,1735,1627,2442
0,423,535,995,1494,1069,2372
0,401,475,922,1478,1072,2380
1,540,599,1206,1607,1218,2025
0,372,470,981,1508,848,2298
0,313,428,830,1397,834,2288
0,415,454,1031,1507,939,2225
1,545,580,1215,1627,1181,2162
1,645,665,1311,1642,1377,1987
1,498,566,1103,1569,1239,2138
1,865,947,1350,1808,1743,2475
0,557,643,1160,1591,1248,2365
0,370,473,930,1498,871,2268
1,637,648,1145,1658,1558,2457
1,688,706,1308,1661,1469,2198
0,277,436,822,1384,884,2274
1,498,619,1143,1604,1080,2169
1,536,634,1013,1601,1446,2275
1,816,904,1478,1770,1624,1822
0,431,519,1010,1470,1106,2329
1,573,613,1221,1619,1257,2189
1,627,700,1115,1672,1465,2267
0,381,479,1003,1471,890,2265
1,562,601,1166,1599,1269,2307
0,472,528,958,1533,1146,2556
1,569,575,1093,1537,1263,2336
1,733,871,1447,1753,1519,1901
1,646,713,1308,1593,1453,2106
1,410,535,1029,1497,1070,2204
1,623,608,1110,1618,1301,2368
1,843,812,1492,1679,1620,2076
0,466,515,922,1504,1116,2241
1,807,912,1510,1782,1621,1829
0,380,410,860,1416,936,2215
1,527,633,1167,1627,1166,2165
1,526,624,1252,1608,1140,2144
1,591,689,1132,1652,1398,2279
1,562,671,1187,1647,1192,2199
1,511,550,1050,1565,1126,2529
1,608,678,1184,1687,1625,2463
1,566,654,1265,1655,1170,2171
1,501,587,1177,1576,1106,2199
0,517,517,935,1513,1096,2485
1,682,704,1181,1715,1454,2426
1,639,588,1050,1583,1519,2450
1,506,585,1115,1565,1193,2144
1,674,716,1360,1643,1435,1968
1,829,944,1312,1808,1724,2432
0,430,482,929,1447,1007,2252
1,854,975,1340,1807,1726,2450
1,653,642,1327,1639,1445,2142
1,815,812,1473,1672,1580,2071
0,315,430,842,1350,842,2330
1,516,570,1167,1591,1133,2168
0,396,503,940,1484,1054,2264
0,466,524,1033,1474,1092,2294
0,358,496,1009,1507,935,2234
1,590,564,1089,1576,1265,2340
1,1090,1044,1715,1795,1748,1969
1,680,682,1333,1647,1483,2193
0,321,402,806,1386,806,2336
0,372,448,860,1475,1023,2257
0,398,495,946,1469,1006,2283
1,597,537,1101,1578,1265,2334
1,695,692,1328,1664,1469,2191
1,872,1010,1346,1818,1746,2407
1,531,606,1056,1577,1402,2346
1,569,670,1276,1554,1384,2040
1,543,580,1061,1579,1525,2440
0,301,411,820,1394,884,2266
1,653,734,1241,1724,1595,2261
1,655,640,1178,1603,1411,2342
1,522,641,1224,1596,1162,2159
1,845,961,1326,1808,1695,2454
1,549,517,1061,1557,1249,2440
1,494,598,1195,1612,1065,2179
1,500,606,1213,1535,1225,2046
1,938,932,1557,1786,1706,1907
1,561,599,1139,1590,1266,2318
1,581,667,1233,1634,1298,2013
0,414,505,981,1491,994,2346
1,525,647,1227,1617,1166,2137
1,761,892,1414,1751,1598,1855
1,508,557,1057,1560,1237,2387
1,480,532,1119,1577,958,2125
1,1047,1285,1543,1914,1798,2467
1,747,842,1444,1751,1562,1804
0,401,531,896,1497,1673,2210
0,462,516,966,1482,1136,2658
0,384,492,919,1435,1062,2284
0,377,474,886,1458,1005,2292
1,442,593,1108,1561,1231,2145
1,551,650,1285,1643,1150,2160
1,772,895,1492,1778,1588,1841
1,426,598,1093,1582,1128,2115
1,468,575,1162,1549,1160,2059
0,420,522,952,1508,1110,2339
1,564,622,1128,1632,1619,2447
0,381,421,827,1416,906,2484
1,637,614,1164,1622,1302,2304
1,862,922,1339,1810,1740,2520
1,730,662,1258,1652,1504,2408
1,713,750,1219,1721,1642,2400
1,573,663,1279,1652,1293,2028
1,672,729,1266,1703,1434,2245
1,904,1012,1366,1837,1758,2499
1,579,666,1080,1650,1471,2347
1,626,677,1153,1662,1575,2438
0,373,454,931,1431,980,2185
1,529,603,1102,1642,1368,2251
1,540,615,1233,1631,1210,2159
1,811,868,1281,1783,1629,2491
1,520,605,1182,1624,1129,2149
1,504,550,1060,1536,1240,2464
1,925,832,1582,1776,1545,1989
1,836,946,1321,1750,1765,2480
0,517,548,1099,1574,1175,2344
0,409,510,969,1447,1006,2336
1,574,610,1130,1618,1250,2390
1,486,613,1159,1587,1264,2286
1,455,582,1102,1566,1189,2107
1,728,865,1426,1755,1520,1903
1,792,910,1507,1770,1607,1832
0,390,500,870,1490,968,2307
1,833,927,1347,1810,1667,2464
0,327,483,892,1462,1312,1889
1,644,696,1231,1613,1458,2432
0,519,558,1083,1560,1149,2230
0,356,478,927,1437,922,2257
1,683,812,1354,1721,1493,1901
1,483,639,1159,1597,1306,2105
0,295,423,830,1400,840,2268
1,891,989,1370,1848,1699,2501
0,452,508,974,1481,1129,2229
0,585,638,1133,1599,1250,2372
1,742,879,1441,1742,1587,1805
0,474,487,920,1500,1133,2482
1,804,794,1384,1724,1641,2200
1,670,696,1252,1720,1321,2431
1,560,655,1248,1665,1185,2130
1,796,752,1403,1714,1562,2038
1,1030,992,1650,1742,1711,1970
0,485,511,1005,1534,1161,2535
1,589,574,1122,1595,1244,2411
1,844,828,1507,1706,1615,1873
0,321,437,833,1401,838,2345
1,967,1128,1434,1870,1812,2430
1,568,607,1288,1651,1193,2159
1,597,657,1084,1638,1642,2496
0,419,497,908,1461,997,2272
0,466,534,1006,1507,1154,2568
0,331,443,783,1402,966,2170
1,585,676,1155,1675,1411,2320
1,442,590,1131,1588,1135,2186
1,576,598,1094,1546,1605,2442
1,705,814,1354,1724,1547,1917
1,922,941,1553,1785,1745,2006
0,374,552,949,1514,1117,2350
1,550,665,1228,1659,1198,2144
0,424,457,855,1470,1041,2200
1,548,650,1138,1627,1271,2231
1,747,678,1266,1658,1586,2361
1,738,821,1421,1754,1492,1845
1,524,620,1247,1531,1299,2051
1,497,597,1217,1530,1224,2055
1,652,718,1150,1641,1709,2491
1,434,576,1075,1554,1181,2189
1,536,620,1214,1640,1159,2163
0,373,435,867,1416,912,2286
0,400,498,945,1478,1003,2335
1,499,635,1236,1621,1184,2153
0,367,429,880,1409,888,2492
1,813,677,1329,1670,1617,2367
1,634,773,1351,1663,1463,1928
0,375,457,894,1470,1228,1899
0,482,499,934,1512,1110,2342
1,856,969,1274,1806,1769,2465
0,394,442,932,1495,998,2255
1,569,650,1182,1611,1318,2146
0,378,433,823,1415,911,2492
0,328,422,815,1384,832,2338
1,478,592,1072,1554,1192,2287
1,553,625,1153,1596,1231,2198
1,858,945,1469,1767,1656,1879
1,633,725,1310,1689,1348,2013
1,518,642,1238,1624,1261,2192
1,1034,1308,1532,1925,1793,2431
0,367,482,869,1479,1005,2198
1,784,834,1281,1738,1626,2473
0,451,548,931,1516,1110,2485
1,890,867,1367,1828,1515,2394
0,312,433,831,1369,837,2331
1,1053,1037,1642,1809,1908,1929
0,374,506,1041,1513,941,2256
1,536,638,1231,1596,1195,2151
1,420,500,1044,1512,1058,2200
1,555,633,1157,1618,1295,2134
0,421,467,910,1472,992,2578
1,731,777,1265,1713,1646,2443
1,689,755,1268,1714,1608,2256
1,1156,1006,1632,1839,1875,1977
1,800,911,1507,1789,1626,1797
1,788,890,1376,1807,1548,2290
0,356,444,859,1466,1035,2228
0,385,461,965,1497,855,2301
0,367,482,999,1498,907,2275
1,689,695,1377,1656,1381,1978
1,1088,1029,1635,1786,1900,1936
1,543,663,1272,1653,1251,2126
1,705,731,1248,1682,1445,2254
1,823,803,1408,1716,1618,1995
1,543,654,1268,1642,1192,2099
1,459,572,1060,1543,1185,2124
1,520,633,1218,1627,1103,2137
0,387,489,850,1486,1005,2262
1,542,619,1063,1581,1429,2300
