TrafficVolume,AverageSpeed,CO2Emissions,NoiseLevel,TrafficCondition,Road Type
5555.555556,35,330.5084746,93.75,Heavy,City
6666.666667,65,398.3050847,105,Heavy,City
8055.555556,60,423.7288136,93.75,Heavy,City
5277.777778,40,322.0338983,93.75,Heavy,City
5000,50,330.5084746,93.75,Heavy,City
5833.333333,40,389.8305085,105,Heavy,City
8055.555556,50,406.779661,86.25,Heavy,City
8611.111111,40,432.2033898,97.5,Heavy,City
10000,90,457.6271186,101.25,Heavy,City
5833.333333,40,389.8305085,108.75,Heavy,City
5555.555556,40,347.4576271,82.5,Heavy,City
5000,30,389.8305085,78.75,Heavy,City
9444.444444,50,432.2033898,112.5,Heavy,City
5555.555556,70,389.8305085,116.25,Heavy,City
5833.333333,55,381.3559322,93.75,Heavy,City
4722.222222,50,322.0338983,93.75,Heavy,City
7222.222222,55,372.8813559,105,Heavy,City
6666.666667,55,389.8305085,116.25,Heavy,City
7222.222222,55,347.4576271,112.5,Heavy,City
4166.666667,35,347.4576271,97.5,Heavy,City
6944.444444,60,415.2542373,112.5,Heavy,City
6666.666667,65,398.3050847,120,Heavy,City
6666.666667,50,355.9322034,112.5,Heavy,City
5555.555556,25,338.9830508,97.5,Heavy,City
6111.111111,50,355.9322034,101.25,Heavy,City
5277.777778,70,372.8813559,112.5,Heavy,City
4444.444444,50,347.4576271,93.75,Heavy,City
